# Extended metadata for cities.csv (not used by C++ parser)
# Source: GeoNames cities1000 India subset (CC BY 4.0)
city,geoname_id,admin1_code,state,population,latitude,longitude
Tadigadapa,10778957,02,Andhra Pradesh,17462,16.471290,80.696950
Tadikarakonam,11655648,25,Tamil Nadu,6241,8.330160,77.414910
Tadikombu,8442529,25,Tamil Nadu,18838,10.439040,77.954590
Tadpatri,1255254,02,Andhra Pradesh,108171,14.908320,78.010310
Taipi Duidam,1255236,30,Arunachal Pradesh,7151,27.291170,96.043670
Taj Pul,13157009,07,Delhi,68796,28.494820,77.305870
Tajpur,1255224,36,Uttar Pradesh,17529,29.162420,78.484580
Tajpura,13494652,25,Tamil Nadu,8075,12.893260,79.319180
Takalghat,1255221,16,Maharashtra,11363,20.915210,78.946940
Takhatgarh,1255213,24,Rajasthan,17285,25.322350,73.004870
Takhatpur,1255212,37,Chhattisgarh,19968,22.129150,81.869590
Takhlibilar Pathar,13156853,03,Assam,6611,26.500360,90.935240
Taki,1255211,28,West Bengal,40113,22.588670,88.932530
Takkolam,1255207,25,Tamil Nadu,13983,13.016430,79.732520
Takli,10707464,16,Maharashtra,10630,20.470670,75.024360
Tal,1255187,35,Madhya Pradesh,14913,23.719790,75.385140
Talainayar Agraharam,1255179,25,Tamil Nadu,12798,10.561400,79.772290
Talaiyur,11461621,25,Tamil Nadu,11500,11.010160,76.848960
Talaja,1255175,09,Gujarat,29948,21.352700,72.035240
Talakkad,1255172,13,Kerala,35820,10.884590,75.930910
Talakkolattur,10929642,13,Kerala,29388,11.353660,75.757980
Talakkudi,11662078,25,Tamil Nadu,5740,10.873660,78.718150
Talala,12518919,09,Gujarat,21060,21.054730,70.529030
Talattala,11502184,13,Kerala,37517,8.873820,76.671580
Talbahat,1255146,36,Uttar Pradesh,13789,25.043570,78.434410
